Family Name,Word Class
пелих,noun
черних,adjective
гладких,adjective
бєлих,adjective
штих,noun
сєдих,adjective
толстих,adjective
долгих,adjective
рижих,adjective
коротких,adjective
бих,noun
мних,noun
чмих,noun
фоміних,adjective
бебих,noun
золотих,adjective
гаврих,noun
косих,adjective
пяних,noun
кузьміних,adjective
ільїних,adjective
руських,adjective
белих,adjective
борзих,adjective
малих,adjective
сєрих,adjective
білих,noun
рябих,adjective
старих,adjective
дарнопих,noun
лисих,adjective
донських,adjective
седих,adjective
гелих,noun
вялих,adjective
жидких,adjective
сухих,adjective
тонких,adjective
черемних,noun
боровських,adjective
жарких,adjective
сирих,adjective
телих,noun
двойних,adjective
мих,noun
плохих,adjective
савіних,adjective
хромих,adjective
шацьких,adjective
мелих,noun
непочатих,adjective
ших,noun
часовських,adjective
сідих,adjective
целих,adjective
крих,noun
цвелих,adjective
жих,noun
рудих,adjective
шелих,noun
мрих,noun
мягких,adjective
широких,adjective
щербатих,adjective
дородних,adjective
лєсних,adjective
нагорних,adjective
доровських,adjective
каменських,adjective
асадчих,adjective
горбатих,adjective
картавих,adjective
красних,adjective
меньших,adjective
чих,noun
главатських,adjective
глухих,adjective
войцих,noun
лукіних,adjective
непомнящих,adjective
хасхачих,adjective
молодих,adjective
селих,noun
скорих,adjective
теплих,adjective
банних,adjective
кругових,adjective
тельних,adjective
безбородих,adjective
бурих,adjective
горських,adjective
горячих,adjective
ледовських,adjective
пшеничних,adjective
терих,noun
чалих,adjective
заболотських,adjective
ковріжних,adjective
крутих,adjective
печерських,adjective
серих,adjective
філіпських,adjective
арих,noun
коврижних,adjective
русских,adjective
солових,adjective
удалих,adjective
харачих,adjective
хороших,adjective
босих,adjective
дорогих,adjective
ільіних,adjective
карих,adjective
кучерявих,adjective
лесних,adjective
погожих,adjective
пятих,adjective
фридрих,noun
бельських,adjective
болотських,adjective
боярських,adjective
демих,noun
кривих,adjective
крутських,adjective
первих,adjective
полянських,adjective
разумних,adjective
смірних,adjective
тернових,adjective
терських,adjective
тятих,adjective
шатських,adjective
великих,adjective
небогатих,adjective
спаських,adjective
хоробрих,adjective
чермних,adjective
азарних,adjective
алаторських,adjective
бездєнєжних,adjective
биковських,adjective
гайдрих,noun
гених,noun
ірих,noun
кислих,adjective
лєдовських,adjective
плесовських,adjective
храбрих,adjective
четвертних,adjective
шумських,adjective
безденежних,adjective
високих,adjective
лісних,adjective
любих,noun
сизих,noun
третіних,adjective
безматерних,adjective
бєльських,adjective
гнєдих,adjective
кудреватих,adjective
литвих,noun
подгорних,adjective
сивих,adjective
сорокових,adjective
сосновських,adjective
тиртих,noun
ходячих,adjective
храмих,adjective
безбабних,adjective
безруких,adjective
вольних,adjective
гнучих,adjective
горових,adjective
девятих,adjective
зелених,adjective
купових,adjective
маленьких,adjective
малтих,noun
марцих,noun
мултих,noun
пєлих,adjective
пронських,adjective
сізих,adjective
скоробогатих,adjective
чепурних,adjective
честних,adjective
яних,noun
борових,adjective
буйських,adjective
верхових,adjective
гладських,adjective
горєлих,adjective
горлатих,adjective
кривоногих,adjective
мжачих,adjective
напольських,adjective
острих,adjective
ряжських,adjective
сірих,adjective
темних,adjective
углицьких,adjective
янбих,noun
аржаних,adjective
безпятих,adjective
бодрих,adjective
больших,adjective
валуйських,adjective
войтих,noun
грязних,adjective
даровських,adjective
дубровських,adjective
єлецьких,adjective
іскусних,adjective
корявих,adjective
купавих,adjective
легких,adjective
мурських,adjective
абрагамовський,adjective
авдієвський,adjective
авдуєвський,adjective
авратинський,adjective
адамовський,adjective
адамський,adjective
аєдоницький,adjective
алчевський,adjective
амбіцький,adjective
андрієвський,adjective
бабанський,adjective
баєвський,adjective
бажанський,adjective
балановський,adjective
балицький,adjective
балінський,adjective
бандрівський,adjective
барановський,adjective
барвінський,adjective
бахталовський,adjective
бачевський,adjective
бачинський,adjective
безкоровайний,adjective
безкровний,adjective
безотосний,adjective
безпалий,adjective
безсмертний,adjective
безуглий,adjective
безщасний,adjective
белмачовський,adjective
бельський,adjective
береговий,adjective
бережанський,adjective
бережний,adjective
бернацький,adjective
бєлінський,adjective
білецький,adjective
білий,adjective
білинський,adjective
білоскурський,adjective
білостоцький,adjective
білоцерківський,adjective
білошицький,adjective
білявський,adjective
білянський,adjective
біляцький,adjective
блажейовський,adjective
боберський,adjective
богаєвський,adjective
богацький,adjective
богачевський,adjective
богдашевський,adjective
богуцький,adjective
бодянський,adjective
боратинський,adjective
борецький,adjective
боришевський,adjective
боровий,adjective
боровиковський,adjective
борщевський,adjective
братковський,adjective
брилинський,adjective
бродацький,adjective
бродський,adjective
брюховецький,adjective
будзиновський,adjective
будний,adjective
будянський,adjective
бузинний,adjective
бурачинський,adjective
бурдейний,adjective
буринський,adjective
бурковський,adjective
бурміцький,adjective
бутницький,adjective
бучацький,adjective
бучинський,adjective
василевський,adjective
васильківський,adjective
велигорський,adjective
великий,adjective
величковський,adjective
веніславський,adjective
вербицький,adjective
вербіцький,adjective
вертинський,adjective
верхратський,adjective
веселовський,adjective
виговський,adjective
висоцький,adjective
витвицький,adjective
вишенський,adjective
вишиваний,adjective
вишневецький,adjective
вівсяний,adjective
вільгушинський,adjective
вільчинський,adjective
вірський,adjective
вітовський,adjective
вітошинський,adjective
воблий,adjective
возний,adjective
войнаровський,adjective
войцеховський,adjective
волянський,adjective
вороний,adjective
вороновський,adjective
врублевський,adjective
гаєвський,adjective
гайворонський,adjective
гайовий,adjective
галинський,adjective
галущинський,adjective
гамерський,adjective
ганушевський,adjective
гвоздецький,adjective
гембицький,adjective
георгієвський,adjective
гербановський,adjective
геровський,adjective
гладишовський,adjective
гладкий,adjective
глібовицький,adjective
гогоцький,adjective
головатий,adjective
головацький,adjective
головецький,adjective
головінський,adjective
голубничий,adjective
горайський,adjective
горбачевський,adjective
гординський,adjective
горецький,adjective
горжий,adjective
горілий,adjective
горовий,adjective
городиський,adjective
гороховський,adjective
горчинський,adjective
гошовський,adjective
грабінський,adjective
грабовецький,adjective
грабовський,adjective
гребеньовський,adjective
гречаний,adjective
барський,adjective
гриневецький,adjective
громницький,adjective
гронський,adjective
грушевський,adjective
грушецький,adjective
артемовський,adjective
гулеватий,adjective
гулий,adjective
гуляницький,adjective
гуменний,adjective
гурський,adjective
ґжицький,adjective
кульчицький,adjective
даньковський,adjective
дворський,adjective
дейчаківський,adjective
деряжний,adjective
дикий,adjective
диковицький,adjective
димінський,adjective
дичковський,adjective
дідицький,adjective
дідківський,adjective
дідушицький,adjective
дністрянський,adjective
добжанський,adjective
добриловський,adjective
добрянський,adjective
довгий,adjective
долинський,adjective
дольницький,adjective
доманицький,adjective
домбровський,adjective
дорожинський,adjective
драгомирецький,adjective
дроздовський,adjective
дубинецький,adjective
дубицький,adjective
дублянський,adjective
дубовий,adjective
дубрівний,adjective
дудинський,adjective
дужий,adjective
борковський,adjective
дяковський,adjective
єзерський,adjective
жабокрицький,adjective
жаботинський,adjective
желехівський,adjective
желиборський,adjective
житецький,adjective
житинський,adjective
жуковський,adjective
жупанський,adjective
журавський,adjective
забарний,adjective
заблоцький,adjective
заболотний,adjective
заборовський,adjective
забродський,adjective
завадовський,adjective
загоровський,adjective
загребельний,adjective
загродський,adjective
загульський,adjective
задніпровський,adjective
задунайський,adjective
заклинський,adjective
закревський,adjective
залозецький,adjective
замковий,adjective
заріцький,adjective
зарудний,adjective
заруцький,adjective
заставний,adjective
зацний,adjective
заярний,adjective
заячківський,adjective
збаразький,adjective
зволінський,adjective
згурський,adjective
зеленецький,adjective
зелінський,adjective
зіньківський,adjective
злочевський,adjective
боровський,adjective
золотницький,adjective
зубицький,adjective
зубрицький,adjective
івановський,adjective
ілінський,adjective
індишевський,adjective
іскрицький,adjective
калиновський,adjective
калитовський,adjective
калішевський,adjective
кальницький,adjective
калюжний,adjective
камінський,adjective
каніболоцький,adjective
капустянський,adjective
караванський,adjective
карпінський,adjective
каховський,adjective
качинський,adjective
качковський,adjective
качмарський,adjective
качуровський,adjective
керницький,adjective
керножицький,adjective
кисілевський,adjective
кислий,adjective
китастий,adjective
кістяківський,adjective
кладочний,adjective
климовський,adjective
кобзистий,adjective
кобилянський,adjective
кобринський,adjective
ковалевський,adjective
ковальський,adjective
козачинський,adjective
козицький,adjective
козловський,adjective
колодний,adjective
колодницький,adjective
коломацький,adjective
колосовський,adjective
комарницький,adjective
коморовський,adjective
кондратський,adjective
кониський,adjective
копистенський,adjective
корецький,adjective
коробчинський,adjective
коровицький,adjective
корчинський,adjective
костенецький,adjective
костецький,adjective
котляревський,adjective
