Word,In nominative
рекрут,1
солдат,1
старший,1
молодший,1
сержант,1
штаб,0
майстер,0
головний,1
лейтенант,1
капітан,1
майор,1
підполковник,1
полковник,1
бригадний,1
генерал,1
матрос,1
старшина,1
статті,0
корабельний,1
рангу,0
коммодор,1
контрадмірал,1
віцеадмірал,1
адмірал,1
сотник,1
поручник,1
отаман,1
чотар,1
хорунжий,1
підхорунжий,1
булавний,1
десятник,1
стрілець,1
бунчужний,1
чотовий,1
ройовий,1
вістун,1
козак,1
флоту,0
віце,0
контр,0
бортовий,1
авіаційний,1
технік,1
інженер,1
льотчик,1
інструктор,1
штурман,1
офіцер,1
інспектор,1
спеціалізаціями,0
психолог,1
завідувач,1
клубу,0
юрисконсульт,1
економіст,1
лікар,1
помічник,1
керівника,0
польотами,0
командира,0
корабля,0
начальника,0
відділення,0
служби,0
штабу,0
старший,1
провідний,1
бухгалтер,1
керівник,1
художній,1
епідеміолог,1
психіатр,1
відділу,0
начальник,1
кабінету,0
ординатор,1
рентгенолог,1
хірург,1
терапевт,1
аптеки,0
стоматолог,1
функціональної,0
діагностики,0
викладач,1
доцент,1
науковий,1
співробітник,1
професор,1
центру,0
культури,0
акумуляторник,1
артист,1
вищої,0
категорії,0
для,0
оркестру,0
першої,0
другої,0
бібліотекар,1
відповідальний,1
виконавець,1
головного,0
управління,0
національної,0
гвардії,0
україни,0
водій,1
електровізка,0
вожатий,1
службових,0
собак,0
вулканізаторник,1
газівник,1
головна,1
медична,1
сестра,1
дезінфектор,1
диспетчер,1
діловод,1
дизеліст,1
статистик,1
обліку,0
особового,0
складу,0
дресирувальник,1
експедитор,1
електрик,1
електрозварник,1
електромонтер,1
рукопашного,0
бою,0
ветеринарний,1
кулінар,1
пошукової,0
собаки,0
технічних,0
засобів,0
охоронної,0
сигналізації,0
фізичної,0
підготовки,0
спорту,0
водіння,0
інструментальник,1
коваль,1
комендант,1
споруд,0
комірник,1
контролер,1
коректор,1
кочегар,1
кравець,1
кухар,1
лаборант,1
бактеріологічної,0
лабораторії,0
військових,0
навчальних,0
закладів,0
лінійний,1
наглядач,1
майстер,1
маляр,1
машиніст,1
компресора,0
анестезист,1
метеоpолог,1
механік,1
молодший,1
геодезист,1
картограф,1
молодша,1
топограф,1
монтажник,1
музикант,1
фармацевт,1
адміністpативно,0
господарчої,0
частини,0
бібліотеки,0
бюро,0
перепусток,0
віварію,0
ветеринарного,0
пункту,0
групи,0
секретного,0
документального,0
забезпечення,0
полку,0
бригади,0
рівних,0
окремого,0
батальйону,0
дивізіону,0
гуртожитку,0
експедиції,0
засекречувальної,0
апаратури,0
зв’язку,0
інформаційного,0
поста,0
кваpтиpно,0
експлуатаційної,0
котельні,0
контрольно,0
технічного,0
лазні,0
лазне,0
прального,0
комбінату,0
дезінфекційного,0
майстерні,0
ремонту,0
військово,0
господарського,0
майна,0
hачальник,1
медичного,0
міжміської,0
телефонної,0
станції,0
навчального,0
класу,0
обмінного,0
пральні,0
заправки,0
пальним,0
радіобюро,0
розплідника,0
світлообладнання,0
секретної,0
вище,0
також,0
об’єднаного,0
окpемої,0
роти,0
фельд’єгеpсько,0
поштового,0
спортивної,0
бази,0
сховища,0
фільмотеки,0
фінансової,0
батареї,0
холодильника,0
хлібопекарні,0
цеху,0
озброєння,0
техніки,0
операційна,1
опеpатоp,1
палітурник,1
пекар,1
перукар,1
пожежний,1
респіраторник,1
покрівельник,1
поштар,1
радіотелегpафіст,1
радіотелефоніст,1
рентгенолаборант,1
санітар,1
санітарний,1
складальник,1
слюсар,1
спортсмен,1
споpтсмен,1
стажер,1
крім,0
старшого,0
диспетчера,0
перельотів,0
посадок,0
санітарного,0
інструктора,0
старша,1
pадіотелегpафіст,1
pадіотелефоніст,1
столяр,1
такелажник,1
телеграфіст,1
телефоніст,1
тракторист,1
швець,1
телегpафіст,1
зубний,1
фельдшер,1
